,Predicted,Real
Quinn Cook,PG,PG
DeMarcus Cousins,PF,C
DeMarcus Cousins,PF,C
DeMarcus Cousins,PF,C
Robert Covington,SF,SF
Allen Crabbe,SG,SG
Jamal Crawford,SG,SG
Jordan Crawford,SG,SG
Jae Crowder,SF,SF
Dante Cunningham,SG,SF
Seth Curry,SG,PG
Stephen Curry,PG,PG
Troy Daniels,SG,SG
Anthony Davis,C,C
Deyonta Davis,C,C
Ed Davis,PF,PF
Dewayne Dedmon,C,C
Sam Dekker,SF,SF
Malcolm Delaney,PG,PG
Matthew Dellavedova,SG,PG
Luol Deng,SF,SF
DeMar DeRozan,SF,SG
Cheick Diallo,C,PF
Boris Diaw,PF,PF
Gorgui Dieng,C,PF
Spencer Dinwiddie,SG,PG
Toney Douglas,PG,PG
Goran Dragic,PG,PG
Andre Drummond,C,C
Jared Dudley,SF,PF
Mike Dunleavy,SF,SF
Mike Dunleavy,SF,SF
Mike Dunleavy,SF,SF
Kris Dunn,PG,PG
Kevin Durant,PF,SF
Henry Ellenson,PF,PF
Wayne Ellington,SG,SG
Monta Ellis,PG,SG
Joel Embiid,C,C
James Ennis,SF,SF
Tyler Ennis,PG,PG
Tyler Ennis,PG,PG
Tyler Ennis,PG,PG
Tyreke Evans,PG,SF
Tyreke Evans,PG,SF
Tyreke Evans,SG,SF
Dante Exum,SG,PG
Kenneth Faried,PF,PF
Derrick Favors,C,PF
Kay Felder,PG,PG
Cristiano Felicio,C,C
Raymond Felton,PG,PG
Yogi Ferrell,PG,PG
Yogi Ferrell,PG,PG
Yogi Ferrell,PG,PG
Dorian Finney-Smith,PF,PF
Bryn Forbes,PG,SG
Evan Fournier,SF,SG
Randy Foye,SG,SG
Tim Frazier,PG,PG
Channing Frye,C,C
Danilo Gallinari,SF,SF
Langston Galloway,SG,PG
Langston Galloway,SG,PG
Langston Galloway,PG,PG
Marc Gasol,PF,C
Pau Gasol,PF,C
Rudy Gay,SF,SF
Alonzo Gee,SF,SF
Paul George,SF,SF
Jonathan Gibson,SG,PG
Taj Gibson,PF,PF
Taj Gibson,PF,PF
Taj Gibson,PF,PF
Manu Ginobili,SG,SG
Rudy Gobert,C,C
Archie Goodwin,SG,SG
Archie Goodwin,SG,SG
Aaron Gordon,SF,SF
Eric Gordon,SG,SG
Marcin Gortat,C,C
Treveon Graham,SG,SG
Jerami Grant,SF,SF
Jerami Grant,PF,SF
Jerian Grant,PG,PG
Danny Green,SF,SG
Draymond Green,PF,PF
Gerald Green,SF,SF
JaMychal Green,SF,PF
Jeff Green,SF,PF
Blake Griffin,PF,PF
Justin Hamilton,C,C
A.J. Hammons,SF,C
Tim Hardaway,SG,SG
James Harden,PF,PG
Maurice Harkless,SF,SF
Montrezl Harrell,PF,C
Devin Harris,SG,PG
Gary Harris,SG,SG
Joe Harris,SG,SG
Tobias Harris,SF,PF
Andrew Harrison,SG,PG
Udonis Haslem,PF,C
Spencer Hawes,C,PF
Spencer Hawes,C,PF
Spencer Hawes,C,PF
Gordon Hayward,SF,SF
Gerald Henderson,SG,SG
John Henson,C,C
Juan Hernangomez,PF,PF
Willy Hernangomez,PF,C
Mario Hezonja,SF,SF
Roy Hibbert,C,C
Roy Hibbert,C,C
Buddy Hield,SG,SG
Buddy Hield,SG,SG
Buddy Hield,SG,SG
Nene Hilario,C,C
George Hill,SG,PG
Solomon Hill,SG,SF
Darrun Hilliard,SG,SG
Jrue Holiday,PG,PG
Justin Holiday,SF,SG
Rondae Hollis-Jefferson,SF,SF
Richaun Holmes,C,C
Rodney Hood,SG,SG
Al Horford,PF,C
Dwight Howard,C,C
Marcelo Huertas,PG,PG
Kris Humphries,PF,PF
Serge Ibaka,PF,PF
Serge Ibaka,PF,PF
Serge Ibaka,PF,PF
Andre Iguodala,PG,SF
Ersan Ilyasova,PF,PF
Ersan Ilyasova,PF,PF
Ersan Ilyasova,PF,PF
Joe Ingles,PG,SF
Brandon Ingram,SF,SF
Kyrie Irving,PG,PG
Pierre Jackson,PG,PG
Reggie Jackson,PG,PG
LeBron James,SF,SF
Al Jefferson,PF,C
Richard Jefferson,SF,SF
Brandon Jennings,PG,PG
Brandon Jennings,PG,PG
Brandon Jennings,PG,PG
Jonas Jerebko,PF,PF
Amir Johnson,SF,PF
James Johnson,SF,PF
Joe Johnson,SF,SF
Stanley Johnson,SF,SF
Tyler Johnson,SG,PG
Wesley Johnson,SF,SF
Nikola Jokic,C,C
Damian Jones,C,C
Derrick Jones,PF,SF
James Jones,SF,SF
Terrence Jones,PF,PF
Terrence Jones,PF,PF
Tyus Jones,PG,PG
DeAndre Jordan,C,C
Cory Joseph,PG,SG
Frank Kaminsky,C,C
Enes Kanter,C,C
Ryan Kelly,SF,PF
Michael Kidd-Gilchrist,SF,SF
Sean Kilpatrick,SG,SG
Brandon Knight,PG,SG
Kyle Korver,SF,SG
Kyle Korver,PG,SG
Kyle Korver,SF,SG
Kosta Koufos,C,C
Mindaugas Kuzminskas,SG,SF
Skal Labissiere,C,PF
Jeremy Lamb,PF,SG
Nicolas Laprovittola,SG,PG
Joffrey Lauvergne,C,PF
Joffrey Lauvergne,C,C
Zach LaVine,SG,SG
Ty Lawson,PG,PG
Jake Layman,SG,SF
Courtney Lee,SG,SG
David Lee,SF,PF
Alex Len,C,C
Kawhi Leonard,SF,SF
Meyers Leonard,PF,PF
Jon Leuer,SF,PF
Caris LeVert,SF,SF
DeAndre Liggins,SG,SG
DeAndre Liggins,SG,SG
Damian Lillard,PG,PG
Jeremy Lin,PG,PG
Shaun Livingston,SF,PG
Shawn Long,PF,C
Kevon Looney,PF,C
Brook Lopez,C,C
Robin Lopez,C,C
Kevin Love,PF,PF
Kyle Lowry,PG,PG
Timothe Luwawu-Cabarrot,SG,SF
Trey Lyles,PF,PF
Shelvin Mack,PG,PG
Ian Mahinmi,C,C
Thon Maker,C,C
Boban Marjanovic,PF,C
Jarell Martin,PF,PF
Wesley Matthews,SG,SG
Luc Mbah,SF,SF
James Michael,PF,PF
Patrick McCaw,SG,SG
Sheldon McClellan,PG,SG
C.J. McCollum,PG,SG
T.J. McConnell,PG,PG
Chris McCullough,C,PF
Chris McCullough,C,PF
K.J. McDaniels,SF,SF
K.J. McDaniels,PF,SF
K.J. McDaniels,SG,SF
Doug McDermott,SF,SF
Doug McDermott,SF,SF
Doug McDermott,SF,SF
JaVale McGee,PF,C
Rodney McGruder,SG,SG
Ben McLemore,SG,SG
Jordan McRae,SG,SG
Josh McRoberts,SF,PF
Jodie Meeks,SG,SG
Salah Mejri,C,C
Jordan Mickey,PF,PF
Khris Middleton,SF,SF
C.J. Miles,SF,SF
Mike Miller,PF,SF
Patty Mills,PG,PG
Paul Millsap,PF,PF
Nikola Mirotic,C,PF
Greg Monroe,C,C
E'Twaun Moore,SG,SG
Marcus Morris,SG,SF
Markieff Morris,PF,PF
Anthony Morrow,SF,SG
Anthony Morrow,SF,SG
Anthony Morrow,SF,SG
Donatas Motiejunas,SF,PF
Timofey Mozgov,C,C
Emmanuel Mudiay,SF,PG
Shabazz Muhammad,SF,SF
Dejounte Murray,SG,PG
Jamal Murray,SF,SG
Mike Muscala,C,C
Larry Nance,PF,PF
Shabazz Napier,PG,PG
Maurice Ndour,PF,PF
Jameer Nelson,PG,PG
Raul Neto,PG,PG
Georges Niang,SF,PF
Andrew Nicholson,SG,PF
Andrew Nicholson,PF,PF
Andrew Nicholson,PF,PF
Joakim Noah,C,C
Nerlens Noel,C,C
Nerlens Noel,C,C
Nerlens Noel,C,C
Lucas Nogueira,PF,C
Dirk Nowitzki,PF,PF
Jusuf Nurkic,C,C
Jusuf Nurkic,C,C
Jusuf Nurkic,C,C
David Nwaba,SF,SG
Johnny O'Bryant,PF,PF
Kyle O'Quinn,PF,C
Daniel Ochefu,C,C
Jahlil Okafor,C,C
Victor Oladipo,SG,SG
Kelly Olynyk,PF,C
Kelly Oubre,SF,SF
Zaza Pachulia,C,C
Georgios Papagiannis,C,C
Jabari Parker,SF,PF
Tony Parker,PG,PG
Chandler Parsons,SF,SF
Patrick Patterson,PF,PF
Chris Paul,PG,PG
Adreian Payne,PF,PF
Cameron Payne,PG,PG
Cameron Payne,PG,PG
Cameron Payne,SG,PG
Elfrid Payton,PG,PG
Gary Payton,PG,PG
Paul Pierce,SF,SF
Marshall Plumlee,C,C
Mason Plumlee,C,C
Mason Plumlee,C,C
Mason Plumlee,C,C
Miles Plumlee,C,C
Miles Plumlee,C,C
Miles Plumlee,C,C
Jakob Poeltl,C,C
Otto Porter,SF,SF
Bobby Portis,PF,PF
Kristaps Porzingis,C,PF
Dwight Powell,PF,C
Norman Powell,SG,SG
Alex Poythress,SF,PF
Ronnie Price,PG,PG
Tim Quarterman,PG,SG
Chasson Randle,PG,PG
Chasson Randle,PG,PG
Chasson Randle,PG,PG
Julius Randle,PF,PF
Zach Randolph,PF,PF
J.J. Redick,SG,SG
Willie Reed,PF,C
Josh Richardson,SG,SG
Malachi Richardson,SF,SG
Austin Rivers,SG,SG
Andre Roberson,SG,SF
Brian Roberts,PG,PG
Glenn Robinson,SF,SF
Thomas Robinson,PF,PF
Sergio Rodriguez,PG,PG
Rajon Rondo,PG,PG
Derrick Rose,SG,PG
Terrence Ross,SF,SF
Terrence Ross,SF,SF
Terrence Ross,SF,SF
Terry Rozier,PG,PG
Ricky Rubio,PG,PG
Damjan Rudez,SG,SF
Brandon Rush,SG,SG
D'Angelo Russell,PG,PG
Domantas Sabonis,PF,PF
Dario Saric,PF,PF
Tomas Satoransky,SF,SG
Dennis Schroder,PG,PG
Luis Scola,PF,PF
Mike Scott,PF,PF
Thabo Sefolosha,SF,SF
Wayne Selden,SF,SG
Wayne Selden,SF,SG
Kevin Seraphin,PF,PF
Ramon Sessions,PG,PG
Iman Shumpert,SG,SG
Pascal Siakam,SF,PF
Jonathon Simmons,SG,SG
Kyle Singler,SF,SF
Marcus Smart,SG,SG
Ish Smith,PG,PG
J.R. Smith,SG,SG
Jason Smith,C,C
Tony Snell,SF,SG
Marreese Speights,C,C
Tiago Splitter,PF,C
Nik Stauskas,SF,SG
Lance Stephenson,PG,SG
Lance Stephenson,PG,SG
Lance Stephenson,SF,SG
Rodney Stuckey,PG,PG
Jared Sullinger,C,PF
Jeff Teague,PG,PG
Mirza Teletovic,SF,PF
Garrett Temple,SF,SG
Jason Terry,SG,SG
Isaiah Thomas,PG,PG
Lance Thomas,SG,PF
Hollis Thompson,SF,SG
Hollis Thompson,SF,SG
Hollis Thompson,SG,SG
Klay Thompson,SG,SG
Tristan Thompson,C,C
Marcus Thornton,SG,SG
Anthony Tolliver,PF,PF
Karl-Anthony Towns,PF,C
P.J. Tucker,SF,SF
P.J. Tucker,SF,SF
P.J. Tucker,SF,SF
Evan Turner,SF,SF
Myles Turner,SF,C
Beno Udrih,PG,PG
Tyler Ulis,PG,PG
Jarrod Uthoff,SF,PF
Jonas Valanciunas,C,C
Denzel Valentine,SG,SG
Fred VanVleet,SG,PG
Anderson Varejao,PF,C
Rashad Vaughn,SG,SG
Noah Vonleh,PF,PF
Nikola Vucevic,C,C
Sasha Vujacic,SF,SG
Dwyane Wade,SG,SG
Dion Waiters,SF,SG
Kemba Walker,PG,PG
John Wall,PG,PG
Taurean Waller-Prince,SF,SF
T.J. Warren,PF,SF
C.J. Watson,PG,PG
Briante Weber,PG,PG
Briante Weber,SG,PG
David West,SF,C
Russell Westbrook,SF,PG
Okaro White,PF,PF
Isaiah Whitehead,SG,PG
Hassan Whiteside,C,C
Andrew Wiggins,SG,SF
C.J. Wilcox,SF,SG
Alan Williams,PF,C
Deron Williams,PG,PG
Deron Williams,PG,PG
Deron Williams,PG,PG
Derrick Williams,PF,PF
Derrick Williams,SF,PF
Derrick Williams,SF,PF
Lou Williams,SG,SG
Lou Williams,SG,SG
Lou Williams,SF,SG
Marvin Williams,SF,PF
Reggie Williams,SG,SF
Troy Williams,PG,SF
Troy Williams,PG,SF
Troy Williams,SF,SF
Justise Winslow,SF,SF
Jeff Withey,SF,C
Christian Wood,C,PF
Metta World,SG,SF
Brandan Wright,PF,PF
Delon Wright,SG,PG
James Young,SF,SG
Joe Young,PG,PG
Nick Young,SG,SG
Thaddeus Young,SF,PF
Cody Zeller,C,PF
Tyler Zeller,C,C
Stephen Zimmerman,C,C
Paul Zipser,SF,SF
Ivica Zubac,C,C
